cost,instance_seed,instance,postpone_epoch,postpone_seed
612874,1,ORTEC-VRPTW-ASYM-a53ed404-d1-n406-k25.txt,1,1
623885,1,ORTEC-VRPTW-ASYM-55a26fb1-d1-n326-k25.txt,1,1
331813,1,ORTEC-VRPTW-ASYM-c853ff0d-d1-n236-k15.txt,1,1
364916,1,ORTEC-VRPTW-ASYM-6c6190a5-d1-n323-k20.txt,1,1
273020,1,ORTEC-VRPTW-ASYM-5525d5a9-d1-n255-k20.txt,1,1
312429,1,ORTEC-VRPTW-ASYM-e32e5e1a-d1-n214-k12.txt,1,1
458997,1,ORTEC-VRPTW-ASYM-56c07872-d1-n309-k25.txt,1,1
464772,1,ORTEC-VRPTW-ASYM-1cd538a9-d1-n400-k25.txt,1,1
474389,1,ORTEC-VRPTW-ASYM-83be8e48-d1-n350-k21.txt,1,1
273233,1,ORTEC-VRPTW-ASYM-94f07625-d1-n254-k18.txt,1,1
342018,1,ORTEC-VRPTW-ASYM-a59d64ac-d1-n328-k20.txt,1,1
257164,1,ORTEC-VRPTW-ASYM-acc237bb-d1-n390-k23.txt,1,1
460712,1,ORTEC-VRPTW-ASYM-ccc004aa-d1-n224-k12.txt,1,1
484186,1,ORTEC-VRPTW-ASYM-fa18d4ba-d1-n349-k30.txt,1,1
418066,1,ORTEC-VRPTW-ASYM-cc98aff5-d1-n261-k20.txt,1,1
466414,1,ORTEC-VRPTW-ASYM-92bc6975-d1-n273-k20.txt,1,1
362370,1,ORTEC-VRPTW-ASYM-937b2edc-d1-n234-k15.txt,1,1
505065,1,ORTEC-VRPTW-ASYM-715940dc-d1-n381-k25.txt,1,1
481072,1,ORTEC-VRPTW-ASYM-b3635658-d1-n457-k28.txt,1,1
287201,1,ORTEC-VRPTW-ASYM-9ba5962e-d1-n329-k23.txt,1,1
415829,1,ORTEC-VRPTW-ASYM-19eafe1e-d1-n458-k35.txt,1,1
369080,1,ORTEC-VRPTW-ASYM-62980c46-d1-n254-k20.txt,1,1
534724,1,ORTEC-VRPTW-ASYM-68e134ef-d1-n267-k20.txt,1,1
523307,1,ORTEC-VRPTW-ASYM-77e75b62-d1-n227-k15.txt,1,1
486039,1,ORTEC-VRPTW-ASYM-db8794fb-d1-n319-k25.txt,1,1
545140,1,ORTEC-VRPTW-ASYM-ed97d7dc-d1-n416-k23.txt,1,1
363651,1,ORTEC-VRPTW-ASYM-2aa3e5eb-d1-n239-k18.txt,1,1
431891,1,ORTEC-VRPTW-ASYM-1bc16246-d1-n503-k43.txt,1,1
388577,1,ORTEC-VRPTW-ASYM-3709cf41-d1-n287-k19.txt,1,1
454407,1,ORTEC-VRPTW-ASYM-31d5cfe6-d1-n252-k30.txt,1,1
388915,1,ORTEC-VRPTW-ASYM-617e20d7-d1-n203-k15.txt,1,1
472862,1,ORTEC-VRPTW-ASYM-5c968166-d1-n320-k20.txt,1,1
344891,1,ORTEC-VRPTW-ASYM-6656ccd2-d1-n310-k20.txt,1,1
266587,1,ORTEC-VRPTW-ASYM-2d8735ce-d1-n270-k18.txt,1,1
524671,1,ORTEC-VRPTW-ASYM-4b81ac13-d1-n288-k30.txt,1,1
505082,1,ORTEC-VRPTW-ASYM-90e8a20e-d1-n296-k20.txt,1,1
613158,1,ORTEC-VRPTW-ASYM-e03a17e0-d1-n406-k21.txt,1,1
320990,1,ORTEC-VRPTW-ASYM-d1906538-d1-n226-k30.txt,1,1
542328,1,ORTEC-VRPTW-ASYM-e6de598f-d1-n277-k16.txt,1,1
572917,1,ORTEC-VRPTW-ASYM-f77bf975-d1-n342-k25.txt,1,1
462169,1,ORTEC-VRPTW-ASYM-ca5d17ad-d1-n246-k15.txt,1,1
420859,1,ORTEC-VRPTW-ASYM-94beb4a8-d1-n371-k21.txt,1,1
529533,1,ORTEC-VRPTW-ASYM-8971de71-d1-n558-k34.txt,1,1
409435,1,ORTEC-VRPTW-ASYM-93c37e02-d1-n430-k35.txt,1,1
423912,1,ORTEC-VRPTW-ASYM-f854cc6f-d1-n299-k23.txt,1,1
397755,1,ORTEC-VRPTW-ASYM-6d6b508e-d1-n413-k35.txt,1,1
360876,1,ORTEC-VRPTW-ASYM-6570ec5a-d1-n283-k20.txt,1,1
389898,1,ORTEC-VRPTW-ASYM-40856d69-d1-n217-k12.txt,1,1
428802,1,ORTEC-VRPTW-ASYM-9c08a0ac-d1-n250-k15.txt,1,1
